player_name,league,season,season_type,stat_type,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Noah Issa-Pavy,French LNB Espoirs,2026,Regular_Season,Averages,ESN,28,29.2,9.5,3.3,9.3,.352,1.8,6.0,.292,1.2,1.7,.688,0.6,2.6,3.2,3.1,1.3,0.0,2.5,3.1
Riley Zizi,French LNB Espoirs,2026,Regular_Season,Averages,ECS,20,22.4,9.4,3.4,8.3,.412,1.5,4.7,.312,1.2,1.6,.719,0.8,1.5,2.3,3.7,1.2,0.1,2.1,2.1
Khadim Kane,French LNB Espoirs,2026,Regular_Season,Averages,EBB,26,27.4,9.4,3.3,8.7,.381,0.5,3.1,.160,2.3,3.1,.738,2.3,5.1,7.4,2.0,1.8,0.6,2.1,3.4
Hugo Lasalrary,French LNB Espoirs,2026,Regular_Season,Averages,BBD,27,22.1,9.1,3.0,7.6,.400,1.7,5.2,.319,1.4,2.0,.704,0.7,2.9,3.6,4.0,1.6,0.0,2.3,1.6
Malcolm Laubouet,French LNB Espoirs,2026,Regular_Season,Averages,ESN,25,23.9,9.1,3.3,8.6,.380,1.0,3.5,.287,1.6,2.4,.661,0.3,2.7,3.0,3.4,1.2,0.0,2.7,1.4
Sidy Sene,French LNB Espoirs,2026,Regular_Season,Averages,ELIM,21,23.6,9.0,3.5,7.7,.460,0.1,0.6,.154,1.9,2.8,.690,1.8,2.8,4.6,0.9,0.5,1.0,2.1,3.6
Benjamin Ruol,French LNB Espoirs,2026,Regular_Season,Averages,ASV,23,23.4,8.9,3.3,7.7,.421,0.6,2.5,.241,1.8,3.2,.562,1.3,4.4,5.7,3.0,1.7,0.3,2.2,1.1
Dario Cokara,French LNB Espoirs,2026,Regular_Season,Averages,EPB,25,25.2,8.8,2.7,7.8,.342,1.4,4.6,.310,2.1,2.6,.788,0.2,2.9,3.1,4.3,1.3,0.1,2.5,2.8
Victor Cazaurang,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,22,25.9,8.7,2.9,9.0,.318,0.7,3.5,.197,2.3,3.8,.607,0.7,1.0,1.7,3.5,1.4,0.0,3.0,2.7
Nael Loubibet,French LNB Espoirs,2026,Regular_Season,Averages,ESQ,23,24.7,8.7,3.3,7.8,.430,0.4,1.9,.227,1.5,2.4,.625,1.5,2.4,3.9,0.8,0.6,0.1,1.0,2.3
Samuel Bringer,French LNB Espoirs,2026,Regular_Season,Averages,EPB,29,20.5,8.2,3.4,6.1,.551,0.3,0.9,.360,1.1,1.5,.744,2.0,1.8,3.8,1.2,0.8,0.3,1.6,2.0
Melvine Mbamen Tchouda,French LNB Espoirs,2026,Regular_Season,Averages,EPB,26,23.4,8.1,3.1,6.4,.479,0.5,1.8,.298,1.4,2.3,.627,2.0,3.7,5.7,1.5,0.5,1.5,2.0,3.1
Kenath Yonzima,French LNB Espoirs,2026,Regular_Season,Averages,ED,27,23.8,8.1,3.0,6.5,.463,0.7,2.6,.286,1.4,2.3,.597,0.7,1.8,2.5,1.5,1.2,0.3,1.5,2.0
Hochea Monney-Deido,French LNB Espoirs,2026,Regular_Season,Averages,ELP,18,27.1,8.1,3.4,6.4,.534,0.1,0.3,.167,1.2,2.6,.457,2.9,4.4,7.3,1.7,1.9,1.7,1.5,3.1
Noah Sylves,French LNB Espoirs,2026,Regular_Season,Averages,ASV,27,20.1,8.1,3.4,5.8,.592,0.2,0.5,.357,1.0,1.6,.667,2.4,2.5,4.9,0.7,0.5,0.4,1.1,3.1
Dimitri Azema,French LNB Espoirs,2026,Regular_Season,Averages,EPB,27,22.3,8.1,3.3,8.3,.402,0.8,3.2,.253,0.6,1.1,.516,1.5,3.1,4.6,2.1,0.8,0.2,2.7,1.7
Melvyn Vounang,French LNB Espoirs,2026,Regular_Season,Averages,EPB,17,16.5,7.9,2.7,5.2,.523,0.3,1.0,.294,2.2,3.4,.667,1.6,1.2,2.9,1.2,0.9,0.0,0.8,1.6
Quentin Bonneau,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,28,25.9,7.9,2.6,5.7,.453,1.3,3.6,.350,1.5,2.3,.672,1.0,2.3,3.3,1.8,1.5,0.1,2.0,2.2
Nils Lobry-Pathout,French LNB Espoirs,2026,Regular_Season,Averages,EC,23,19.4,7.8,3.3,5.7,.583,0.2,1.2,.148,1.0,1.9,.512,1.7,3.0,4.7,1.1,1.1,0.9,1.0,1.7
Leni Monnet,French LNB Espoirs,2026,Regular_Season,Averages,EBB,27,19.8,7.7,2.8,6.4,.431,1.1,3.5,.305,1.1,1.5,.732,0.8,1.7,2.5,1.3,0.9,0.0,0.8,1.6
Lynden Dayas,French LNB Espoirs,2026,Regular_Season,Averages,ESN,29,23.4,7.7,2.9,7.6,.382,1.3,3.9,.327,0.7,1.0,.655,0.3,2.8,3.0,2.3,1.1,0.2,2.1,1.6
Adam Dubois,French LNB Espoirs,2026,Regular_Season,Averages,EBB,29,20.4,7.7,2.8,6.3,.443,0.2,2.3,.103,1.9,3.4,.556,1.8,2.4,4.3,1.0,0.9,0.3,1.3,2.9
Gomis Matheo Boedi,French LNB Espoirs,2026,Regular_Season,Averages,ELP,28,16.2,7.7,2.7,7.0,.381,0.8,2.7,.303,1.5,2.1,.729,0.8,1.6,2.4,1.0,0.9,0.1,2.2,2.5
Kany N'Kouka,French LNB Espoirs,2026,Regular_Season,Averages,ESN,12,34.3,7.6,3.1,6.4,.481,0.0,0.0,.000,1.4,2.2,.654,4.8,4.8,9.5,1.5,0.6,3.1,2.3,2.6
Marley Sar,French LNB Espoirs,2026,Regular_Season,Averages,ELM,14,17.6,7.6,2.9,6.0,.476,1.1,3.3,.326,0.8,1.6,.500,1.4,0.4,1.9,1.5,0.9,0.0,1.0,1.4
Boris Simonovic,French LNB Espoirs,2026,Regular_Season,Averages,ELM,29,20.5,7.5,3.3,6.3,.522,0.1,1.0,.133,0.8,1.3,.605,1.7,3.5,5.1,1.5,1.0,0.2,1.4,1.8
Alim Bekhouche,French LNB Espoirs,2026,Regular_Season,Averages,ELP,28,21.7,7.5,3.3,6.3,.520,0.0,0.5,.071,0.9,2.0,.473,1.8,2.5,4.3,0.9,0.9,0.7,1.3,1.5
Joss Nti Monevina,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,21,20.6,7.4,2.8,8.1,.339,0.6,2.9,.217,1.3,1.7,.750,0.8,1.1,1.9,2.0,0.6,0.0,1.9,1.0
Benjamin Godin,French LNB Espoirs,2026,Regular_Season,Averages,ECS,17,17.8,7.4,2.6,6.2,.419,1.4,4.1,.333,0.8,1.1,.737,0.4,1.5,1.9,2.2,0.5,0.1,2.1,1.6
Albin Boitrel,French LNB Espoirs,2026,Regular_Season,Averages,EBOU,28,24.8,7.2,2.9,6.0,.476,0.0,0.2,.167,1.5,2.8,.526,2.0,3.3,5.3,0.9,1.4,0.1,1.9,2.6
Theo Hebequet,French LNB Espoirs,2026,Regular_Season,Averages,ED,16,15.4,7.2,2.8,6.5,.423,1.1,3.5,.321,0.6,0.8,.692,0.6,1.9,2.6,0.4,1.0,0.3,1.0,2.1
Antoine Darsonville,French LNB Espoirs,2026,Regular_Season,Averages,CHA,28,22.9,7.1,2.8,4.9,.565,0.0,0.1,.000,1.6,2.5,.620,2.3,3.9,6.2,0.6,0.6,0.5,1.7,2.6
Antoine Darsonville,French LNB Espoirs,2026,Regular_Season,Averages,ECS,29,23.1,7.1,2.8,4.9,.566,0.0,0.1,.000,1.6,2.5,.616,2.3,4.0,6.3,0.7,0.6,0.5,1.7,2.6
